OES_TITLE,OCC,OCC_CODE
Chief executives,0010,11-1011
General and operations managers,0020,11-1021
Legislators,0030,11-1031
Advertising and promotions managers,0040,11-2011
Marketing managers,0051,11-2021
Sales managers,0052,11-2022
Public relations and fundraising managers,0060,11-2030
Administrative services managers,0101,11-3012
Facilities managers,0102,11-3013
Computer and information systems managers,0110,11-3021
Financial managers,0120,11-3031
Compensation and benefits managers,0135,11-3111
Human resources managers,0136,11-3121
Training and development managers,0137,11-3131
Industrial production managers,0140,11-3051
Purchasing managers,0150,11-3061
"Transportation, storage, and distribution managers",0160,11-3071
"Farmers, ranchers, and other agricultural managers",0205,11-9013
Construction managers,0220,11-9021
Education and childcare administrators ,0230,11-9030
Architectural and engineering managers,0300,11-9041
Food service managers,0310,11-9051
Funeral home managers,0325,11-9171
Entertainment and recreation managers,0335,11-9070
Lodging managers,0340,11-9081
Medical and health services managers,0350,11-9111
Natural sciences managers,0360,11-9121
Postmasters and mail superintendents,0400,11-9131
"Property, real estate, and community association managers",0410,11-9141
Social and community service managers,0420,11-9151
Emergency management directors,0425,11-9161
"Personal service managers, all other",0426,11-9179
"Managers, all other",0440,11-9199
"Agents and business managers of artists, performers, and athletes",0500,13-1011
"Buyers and purchasing agents, farm products",0510,13-1021
"Wholesale and retail buyers, except farm products",0520,13-1022
"Purchasing agents, except wholesale, retail, and farm products",0530,13-1023
"Claims adjusters, appraisers, examiners, and investigators",0540,13-1030
Compliance officers,0565,13-1041
Cost estimators,0600,13-1051
Human resources workers,0630,13-1070
"Compensation, benefits, and job analysis specialists",0640,13-1141
Training and development specialists,0650,13-1151
Logisticians,0700,13-1081
Project management specialists,0705,13-1082
Management analysts,0710,13-1111
"Meeting, convention, and event planners",0725,13-1121
Fundraisers,0726,13-1131
Market research analysts and marketing specialists,0735,13-1161
"Business operations specialists, all other",0750,13-1199
Accountants and auditors,0800,13-2011
Property appraisers and assessors,0810,13-2020
Budget analysts,0820,13-2031
Credit analysts,0830,13-2041
Financial and investment analysts,0845,13-2051
Personal financial advisors,0850,13-2052
Insurance underwriters,0860,13-2053
Financial examiners,0900,13-2061
Credit counselors and loan officers,0910,13-2070
"Tax examiners and collectors, and revenue agents",0930,13-2081
Tax preparers,0940,13-2082
Other financial specialists,0960,13-20XX
Computer and information research scientists,1005,15-1221
Computer systems analysts,1006,15-1211
Information security analysts,1007,15-1212
Computer programmers,1010,15-1251
Software developers,1021,15-1252
Software quality assurance analysts and testers,1022,15-1253
Web developers,1031,15-1254
Web and digital interface designers,1032,15-1255
Computer support specialists,1050,15-1230
Database administrators and architects,1065,15-124X
Network and computer systems administrators,1105,15-1244
Computer network architects,1106,15-1241
"Computer occupations, all other",1108,15-1299
Actuaries,1200,15-2011
Mathematicians,1210,15-2021
Operations research analysts,1220,15-2031
Statisticians,1230,15-2041
Other mathematical science occupations,1240,15-20XX
"Architects, except landscape and naval",1305,17-1011
Landscape architects,1306,17-1012
"Surveyors, cartographers, and photogrammetrists",1310,17-1020
Aerospace engineers,1320,17-2011
Agricultural engineers,1330,17-2021
Bioengineers and biomedical engineers,1340,17-2031
Chemical engineers,1350,17-2041
Civil engineers,1360,17-2051
Computer hardware engineers,1400,17-2061
Electrical and electronics engineers,1410,17-2070
Environmental engineers,1420,17-2081
"Industrial engineers, including health and safety ",1430,17-2110
Marine engineers and naval architects,1440,17-2121
Materials engineers,1450,17-2131
Mechanical engineers,1460,17-2141
"Mining and geological engineers, including mining safety engineers",1500,17-2151
Nuclear engineers,1510,17-2161
Petroleum engineers,1520,17-2171
"Engineers, all other",1530,17-2199
Architectural and civil drafters,1541,17-3011
Other drafters,1545,17-301X
Electrical and electronic engineering technologists and technicians,1551,17-3023
"Other engineering technologists and technicians, except drafters",1555,17-302X
Surveying and mapping technicians,1560,17-3031
Agricultural and food scientists,1600,19-1010
Biological scientists,1610,19-1020
Conservation scientists and foresters,1640,19-1030
Medical scientists,1650,19-1040
"Life scientists, all other",1660,19-1099
Astronomers and physicists,1700,19-2010
Atmospheric and space scientists,1710,19-2021
Chemists and materials scientists,1720,19-2030
"Environmental scientists and specialists, including health",1745,19-2041
"Geoscientists and hydrologists, except geographers",1750,19-204X
"Physical scientists, all other",1760,19-2099
Economists,1800,19-3011
Survey researchers,1815,19-3022
Clinical and counseling psychologists,1821,19-3033
School psychologists,1822,19-3034
Other psychologists,1825,19-303X
Sociologists,1830,19-3041
Urban and regional planners,1840,19-3051
Miscellaneous social scientists and related workers,1860,19-3090
Agricultural and food science technicians,1900,19-4010
Biological technicians,1910,19-4021
Chemical technicians,1920,19-4031
Environmental  science and geoscience technicians,1935,19-4040
Nuclear technicians,1940,19-4051
Social science research assistants,1950,19-4061
"Other life, physical, and social science technicians",1970,19-40XX
Occupational health and safety specialists and technicians,1980,19-5010
Substance abuse and behavioral disorder counselors,2001,21-1011
"Educational, guidance, and career counselors and advisors",2002,21-1012
Marriage and family therapists,2003,21-1013
Mental health counselors,2004,21-1014
Rehabilitation counselors,2005,21-1015
"Counselors, all other",2006,21-1019
"Child, family, and school social workers",2011,21-1021
Healthcare social workers,2012,21-1022
Mental health and substance abuse social workers,2013,21-1023
"Social workers, all other",2014,21-1029
Probation officers and correctional treatment specialists,2015,21-1092
Social and human service assistants,2016,21-1093
Other community and social service specialists,2025,21-109X
Clergy,2040,21-2011
"Directors, religious activities and education",2050,21-2021
"Religious workers, all other",2060,21-2099
Lawyers,2100,23-1011
Judicial law clerks,2105,23-1012
"Judges, magistrates, and other judicial workers",2110,23-1020
Paralegals and legal assistants,2145,23-2011
"Title examiners, abstractors, and searchers",2170,23-2093
"Legal support workers, all other",2180,23-2099
Postsecondary teachers,2205,25-1000
Preschool and kindergarten teachers,2300,25-2010
Elementary and middle school teachers,2310,25-2020
Secondary school teachers,2320,25-2030
Special education teachers,2330,25-2050
Tutors,2350,25-3041
Other teachers and instructors,2360,25-30XX
"Archivists, curators, and museum technicians",2400,25-4010
Librarians and media collections specialists,2435,25-4022
Library technicians,2440,25-4031
Teaching assistants,2545,25-9040
Other educational instruction and library workers,2555,25-90XX
Artists and related workers,2600,27-1010
Commercial and industrial designers,2631,27-1021
Fashion designers,2632,27-1022
Floral designers,2633,27-1023
Graphic designers,2634,27-1024
Interior designers,2635,27-1025
Merchandise displayers and window trimmers,2636,27-1026
Other designers,2640,27-102X
Actors,2700,27-2011
Producers and directors,2710,27-2012
Athletes and sports competitors,2721,27-2021
Coaches and scouts,2722,27-2022
"Umpires, referees, and other sports officials",2723,27-2023
Dancers and choreographers,2740,27-2030
Music directors and composers,2751,27-2041
Musicians and singers,2752,27-2042
"Disc jockeys, except radio ",2755,27-2091
"Entertainers and performers, sports and related workers, all other",2770,27-2099
Broadcast announcers and radio disc jockeys,2805,27-3011
"News analysts, reporters, and journalists",2810,27-3023
Public relations specialists,2825,27-3031
Editors,2830,27-3041
Technical writers,2840,27-3042
Writers and authors,2850,27-3043
Interpreters and translators,2861,27-3091
Court reporters and simultaneous captioners,2862,27-3092
"Media and communication workers, all other",2865,27-3099
"Broadcast, sound, and lighting technicians",2905,27-4010
Photographers,2910,27-4021
"Television, video, and film camera operators and editors",2920,27-4030
"Media and communication equipment workers, all other",2970,27-4099
Chiropractors,3000,29-1011
Dentists,3010,29-1020
Dietitians and nutritionists,3030,29-1031
Optometrists,3040,29-1041
Pharmacists,3050,29-1051
Emergency medicine physicians,3065,29-1214
Radiologists,3070,29-1224
Other physicians,3090,29-12XX
Surgeons,3100,29-1240
Physician assistants,3110,29-1071
Podiatrists,3120,29-1081
Audiologists,3140,29-1181
Occupational therapists,3150,29-1122
Physical therapists,3160,29-1123
Radiation therapists,3200,29-1124
Recreational therapists,3210,29-1125
Respiratory therapists,3220,29-1126
Speech-language pathologists,3230,29-1127
Exercise physiologists,3235,29-1128
"Therapists, all other",3245,29-1129
Veterinarians,3250,29-1131
Registered nurses,3255,29-1141
Nurse anesthetists,3256,29-1151
Nurse midwives,3257,29-1161
Nurse practitioners,3258,29-1171
Acupuncturists,3261,29-1291
"Healthcare diagnosing or treating practitioners, all other",3270,29-1299
Clinical laboratory technologists and technicians,3300,29-2010
Dental hygienists,3310,29-1292
Cardiovascular technologists and technicians,3321,29-2031
Diagnostic medical sonographers,3322,29-2032
Radiologic technologists and technicians,3323,29-2034
Magnetic resonance imaging technologists,3324,29-2035
Nuclear medicine technologists and medical dosimetrists,3330,29-203X
Emergency medical technicians,3401,29-2042
Paramedics,3402,29-2043
Pharmacy technicians,3421,29-2052
Psychiatric technicians,3422,29-2053
Surgical technologists,3423,29-2055
Veterinary technologists and technicians,3424,29-2056
Dietetic technicians and ophthalmic medical technicians,3430,29-205X
Licensed practical and licensed vocational nurses,3500,29-2061
Medical records specialists,3515,29-2072
"Opticians, dispensing",3520,29-2081
Miscellaneous health technologists and technicians,3545,29-2090
Other healthcare practitioners and technical occupations,3550,29-9000
Home health aides,3601,31-1121
Personal care aides,3602,31-1122
Nursing assistants,3603,31-1131
Orderlies and psychiatric aides,3605,31-113X
Occupational therapy assistants and aides,3610,31-2010
Physical therapist assistants and aides,3620,31-2020
Massage therapists,3630,31-9011
Dental assistants,3640,31-9091
Medical assistants,3645,31-9092
Medical transcriptionists,3646,31-9094
Pharmacy aides,3647,31-9095
Veterinary assistants and laboratory animal caretakers,3648,31-9096
Phlebotomists,3649,31-9097
Other healthcare support workers,3655,31-909X
First-line supervisors of correctional officers,3700,33-1011
First-line supervisors of police and detectives,3710,33-1012
First-line supervisors of firefighting and prevention workers,3720,33-1021
First-line supervisors of security workers,3725,33-1091
"First-line supervisors of protective service workers, all other",3735,33-1099
Firefighters,3740,33-2011
Fire inspectors ,3750,33-2020
Bailiffs,3801,33-3011
Correctional officers and jailers,3802,33-3012
Detectives and criminal investigators,3820,33-3021
Fish and game wardens,3830,33-3031
Parking enforcement workers,3840,33-3041
Police officers,3870,33-3050
Animal control workers,3900,33-9011
Private detectives and investigators,3910,33-9021
Security guards and gambling surveillance officers,3930,33-9030
Crossing guards and flaggers,3940,33-9091
Transportation security screeners,3945,33-9093
School bus monitors,3946,33-9094
Other protective service workers,3960,33-909X
Chefs and head cooks,4000,35-1011
First-line supervisors of food preparation and serving workers,4010,35-1012
Cooks,4020,35-2010
Food preparation workers,4030,35-2021
Bartenders,4040,35-3011
Fast food and counter workers,4055,35-3023
Waiters and waitresses,4110,35-3031
"Food servers, nonrestaurant",4120,35-3041
Dining room and cafeteria attendants and bartender helpers,4130,35-9011
Dishwashers,4140,35-9021
"Hosts and hostesses, restaurant, lounge, and coffee shop",4150,35-9031
"Food preparation and serving related workers, all other",4160,35-9099
First-line supervisors of housekeeping and janitorial workers,4200,37-1011
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",4210,37-1012
Janitors and building cleaners,4220,37-201X
Maids and housekeeping cleaners,4230,37-2012
Pest control workers,4240,37-2021
Landscaping and groundskeeping workers,4251,37-3011
Tree trimmers and pruners,4252,37-3013
Other grounds maintenance workers,4255,37-301X
Supervisors of personal care and service workers,4330,39-1000
Animal trainers,4340,39-2011
Animal caretakers,4350,39-2021
Gambling services workers,4400,39-3010
"Ushers, lobby attendants, and ticket takers",4420,39-3031
Other entertainment attendants and related workers,4435,39-30XX
"Embalmers, crematory operators and funeral attendants",4461,39-40XX
"Morticians, undertakers, and funeral arrangers",4465,39-4031
Barbers,4500,39-5011
"Hairdressers, hairstylists, and cosmetologists",4510,39-5012
Manicurists and pedicurists,4521,39-5092
Skincare specialists,4522,39-5094
Other personal appearance workers,4525,39-509X
"Baggage porters, bellhops, and concierges",4530,39-6010
Tour and travel guides,4540,39-7010
Childcare workers,4600,39-9011
Exercise trainers and group fitness instructors,4621,39-9031
Recreation workers,4622,39-9032
Residential advisors,4640,39-9041
"Personal care and service workers, all other",4655,39-9099
First-Line supervisors of retail sales workers,4700,41-1011
First-Line supervisors of non-retail sales workers,4710,41-1012
Cashiers,4720,41-2010
Counter and rental clerks,4740,41-2021
Parts salespersons,4750,41-2022
Retail salespersons,4760,41-2031
Advertising sales agents,4800,41-3011
Insurance sales agents,4810,41-3021
"Securities, commodities, and financial services sales agents",4820,41-3031
Travel agents,4830,41-3041
"Sales representatives of services, except advertising, insurance, financial services, and travel",4840,41-3091
"Sales representatives, wholesale and manufacturing",4850,41-4010
"Models, demonstrators, and product promoters",4900,41-9010
Real estate brokers and sales agents,4920,41-9020
Sales engineers,4930,41-9031
Telemarketers,4940,41-9041
"Door-to-door sales workers, news and street vendors, and related workers",4950,41-9091
"Sales and related workers, all other",4965,41-9099
First-Line supervisors of office and administrative support workers,5000,43-1011
"Switchboard operators, including answering service",5010,43-2011
Telephone operators,5020,43-2021
"Communications equipment operators, all other",5040,43-2099
Bill and account collectors,5100,43-3011
Billing and posting clerks,5110,43-3021
"Bookkeeping, accounting, and auditing clerks",5120,43-3031
Gambling cage workers,5130,43-3041
Payroll and timekeeping clerks,5140,43-3051
Procurement clerks,5150,43-3061
Tellers,5160,43-3071
"Financial clerks, all other",5165,43-3099
Brokerage clerks,5200,43-4011
Correspondence clerks,5210,43-4021
"Court, municipal, and license clerks",5220,43-4031
"Credit authorizers, checkers, and clerks",5230,43-4041
Customer service representatives,5240,43-4051
"Eligibility interviewers, government programs",5250,43-4061
File clerks,5260,43-4071
"Hotel, motel, and resort desk clerks",5300,43-4081
"Interviewers, except eligibility and loan",5310,43-4111
"Library assistants, clerical",5320,43-4121
Loan interviewers and clerks,5330,43-4131
New accounts clerks,5340,43-4141
Order clerks,5350,43-4151
"Human resources assistants, except payroll and timekeeping",5360,43-4161
Receptionists and information clerks,5400,43-4171
Reservation and transportation ticket agents and travel clerks,5410,43-4181
"Information and record clerks, all other",5420,43-4199
Cargo and freight agents,5500,43-5011
Couriers and messengers,5510,43-5021
Public safety telecommunicators,5521,43-5031
"Dispatchers, except police, fire, and ambulance",5522,43-5032
"Meter readers, utilities",5530,43-5041
Postal service clerks,5540,43-5051
Postal service mail carriers,5550,43-5052
"Postal service mail sorters, processors, and processing machine operators",5560,43-5053
"Production, planning, and expediting clerks",5600,43-5061
"Shipping, receiving, and inventory clerks",5610,43-5071
"Weighers, measurers, checkers, and samplers, recordkeeping",5630,43-5111
Executive secretaries and executive administrative assistants,5710,43-6011
Legal secretaries and administrative assistants,5720,43-6012
Medical secretaries and administrative assistants,5730,43-6013
"Secretaries and administrative assistants, except legal, medical, and executive",5740,43-6014
Data entry keyers,5810,43-9021
Word processors and typists,5820,43-9022
Desktop publishers,5830,43-9031
Insurance claims and policy processing clerks,5840,43-9041
"Mail clerks and mail machine operators, except postal service",5850,43-9051
"Office clerks, general",5860,43-9061
"Office machine operators, except computer",5900,43-9071
Proofreaders and copy markers,5910,43-9081
Statistical assistants,5920,43-9111
"Office and administrative support workers, all other",5940,43-9199
"First-line supervisors of farming, fishing, and forestry workers",6005,45-1011
Agricultural inspectors,6010,45-2011
Animal breeders,6020,45-2021
"Graders and sorters, agricultural products",6040,45-2041
Miscellaneous agricultural workers,6050,45-2090
Fishing and hunting workers,6115,45-3031
Forest and conservation workers,6120,45-4011
Logging workers,6130,45-4020
First-line supervisors of construction trades and extraction workers,6200,47-1011
Boilermakers,6210,47-2011
"Brickmasons, blockmasons, and stonemasons",6220,47-2020
Carpenters,6230,47-2031
"Carpet, floor, and tile installers and finishers",6240,47-2040
"Cement masons, concrete finishers, and terrazzo workers",6250,47-2050
Construction laborers,6260,47-2061
Construction equipment operators,6305,47-2070
"Drywall installers, ceiling tile installers, and tapers",6330,47-2080
Electricians,6355,47-2111
Glaziers,6360,47-2121
Insulation workers,6400,47-2130
Painters and paperhangers,6410,47-2140
Pipelayers,6441,47-2151
"Plumbers, pipefitters, and steamfitters",6442,47-2152
Plasterers and stucco masons,6460,47-2161
Reinforcing iron and rebar workers,6500,47-2171
Roofers,6515,47-2181
Sheet metal workers,6520,47-2211
Structural iron and steel workers,6530,47-2221
Solar photovoltaic installers,6540,47-2231
"Helpers, construction trades",6600,47-3010
Construction and building inspectors,6660,47-4011
Elevator and escalator installers and repairers,6700,47-4021
Fence erectors,6710,47-4031
Hazardous materials removal workers,6720,47-4041
Highway maintenance workers,6730,47-4051
Rail-track laying and maintenance equipment operators,6740,47-4061
Septic tank servicers and sewer pipe cleaners,6750,47-4071
Miscellaneous construction and related workers,6765,47-4090
"Derrick, rotary drill, and service unit operators, oil and gas  ",6800,47-5010
"Excavating and loading machine and dragline operators, surface mining",6821,47-5022
"Earth drillers, except oil and gas",6825,47-5023
"Explosives workers, ordnance handling experts, and blasters",6835,47-5032
Underground mining machine operators,6850,47-5040
"Roustabouts, oil and gas",6920,47-5071
Other extraction workers,6950,47-50XX
"First-line supervisors of mechanics, installers, and repairers",7000,49-1011
"Computer, automated teller, and office machine repairers",7010,49-2011
Radio and telecommunications equipment installers and repairers,7020,49-2020
Avionics technicians,7030,49-2091
"Electric motor, power tool, and related repairers",7040,49-2092
"Electrical and electronics installers and repairers, transportation equipment",7050,49-2093
"Electrical and electronics repairers, industrial and utility ",7100,49-209X
"Electronic equipment installers and repairers, motor vehicles",7110,49-2096
Audiovisual equipment installers and repairers ,7120,49-2097
Security and fire alarm systems installers,7130,49-2098
Aircraft mechanics and service technicians,7140,49-3011
Automotive body and related repairers,7150,49-3021
Automotive glass installers and repairers,7160,49-3022
Automotive service technicians and mechanics,7200,49-3023
Bus and truck mechanics and diesel engine specialists,7210,49-3031
Heavy vehicle and mobile equipment service technicians and mechanics,7220,49-3040
Small engine mechanics,7240,49-3050
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7260,49-3090
Control and valve installers and repairers,7300,49-9010
"Heating, air conditioning, and refrigeration mechanics and installers",7315,49-9021
Home appliance repairers,7320,49-9031
Industrial and refractory machinery mechanics,7330,49-904X
"Maintenance and repair workers, general",7340,49-9071
"Maintenance workers, machinery",7350,49-9043
Millwrights,7360,49-9044
Electrical power-line installers and repairers,7410,49-9051
Telecommunications line installers and repairers,7420,49-9052
Precision instrument and equipment repairers,7430,49-9060
Wind turbine service technicians,7440,49-9081
"Coin, vending, and amusement machine servicers and repairers",7510,49-9091
Commercial divers,7520,49-9092
Locksmiths and safe repairers,7540,49-9094
Manufactured building and mobile home installers,7550,49-9095
Riggers,7560,49-9096
"Helpers--installation, maintenance, and repair workers",7610,49-9098
"Other installation, maintenance, and repair workers",7640,49-909X
First-line supervisors of production and operating workers,7700,51-1011
"Aircraft structure, surfaces, rigging, and systems assemblers",7710,51-2011
"Electrical, electronics, and electromechanical assemblers",7720,51-2020
Engine and other machine assemblers,7730,51-2031
Structural metal fabricators and fitters,7740,51-2041
Other assemblers and fabricators,7750,51-20XX
Bakers,7800,51-3011
"Butchers and other meat, poultry, and fish processing workers",7810,51-3020
"Food and tobacco roasting, baking, and drying machine operators and tenders",7830,51-3091
Food batchmakers,7840,51-3092
Food cooking machine operators and tenders,7850,51-3093
"Food processing workers, all other",7855,51-3099
Computer numerically controlled tool operators and programmers,7905,51-9160
"Forming machine setters, operators, and tenders, metal and plastic",7925,51-4020
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",7950,51-4031
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",8000,51-4033
"Other machine tool setters, operators, and tenders, metal and plastic",8025,51-403X
Machinists,8030,51-4041
"Metal furnace operators, tenders, pourers, and casters",8040,51-4050
"Model makers and patternmakers, metal and plastic",8060,51-4060
"Molders and molding machine setters, operators, and tenders, metal and plastic",8100,51-4070
Tool and die makers,8130,51-4111
"Welding, soldering, and brazing workers",8140,51-4120
Other metal workers and plastic workers,8225,51-4XXX
Prepress technicians and workers,8250,51-5111
Printing press operators,8255,51-5112
Print binding and finishing workers,8256,51-5113
Laundry and dry-cleaning workers,8300,51-6011
"Pressers, textile, garment, and related materials",8310,51-6021
Sewing machine operators,8320,51-6031
Shoe and leather workers,8335,51-6040
"Tailors, dressmakers, and sewers",8350,51-6050
"Textile machine setters, operators, and tenders",8365,51-6060
Upholsterers,8450,51-6093
"Other textile, apparel, and furnishings workers",8465,51-609X
Cabinetmakers and bench carpenters,8500,51-7011
Furniture finishers,8510,51-7021
"Sawing machine setters, operators, and tenders, wood",8530,51-7041
"Woodworking machine setters, operators, and tenders, except sawing",8540,51-7042
Other woodworkers,8555,51-70XX
"Power plant operators, distributors, and dispatchers",8600,51-8010
Stationary engineers and boiler operators,8610,51-8021
Water and wastewater treatment plant and system operators,8620,51-8031
Miscellaneous plant and system operators,8630,51-8090
"Chemical processing machine setters, operators, and tenders",8640,51-9010
"Crushing, grinding, polishing, mixing, and blending workers",8650,51-9020
Cutting workers,8710,51-9030
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",8720,51-9041
"Furnace, kiln, oven, drier, and kettle operators and tenders",8730,51-9051
"Inspectors, testers, sorters, samplers, and weighers",8740,51-9061
Jewelers and precious stone and metal workers,8750,51-9071
Dental and ophthalmic laboratory technicians and medical appliance technicians,8760,51-9080
Packaging and filling machine operators and tenders,8800,51-9111
Painting workers,8810,51-9120
Photographic process workers and processing machine operators,8830,51-9151
Adhesive bonding machine operators and tenders,8850,51-9191
Etchers and engravers,8910,51-9194
"Molders, shapers, and casters, except metal and plastic",8920,51-9195
"Paper goods machine setters, operators, and tenders",8930,51-9196
Tire builders,8940,51-9197
Helpers--production workers,8950,51-9198
Other production equipment operators and tenders,8865,51-919X
Other production workers,8990,51-91XX
Supervisors of transportation and material moving workers,9005,53-1000
Aircraft pilots and flight engineers,9030,53-2010
Air traffic controllers and airfield operations specialists,9040,53-2020
Flight attendants,9050,53-2031
"Ambulance drivers and attendants, except emergency medical technicians",9110,53-3011
"Bus drivers, school",9121,53-3051
"Bus drivers, transit and intercity",9122,53-3052
Driver/sales workers and truck drivers,9130,53-3030
Shuttle drivers and chauffeurs,9141,53-3053
Taxi drivers,9142,53-3054
"Motor vehicle operators, all other",9150,53-3099
Locomotive engineers and operators,9210,53-4010
Railroad conductors and yardmasters,9240,53-4031
Other rail transportation workers,9265,53-40XX
Sailors and marine oilers,9300,53-5011
Ship and boat captains and operators,9310,53-5020
Ship engineers ,9330,53-5031
Parking attendants,9350,53-6021
Transportation service attendants,9365,53-6030
Transportation inspectors,9410,53-6051
Passenger attendants,9415,53-6061
Other transportation workers,9430,53-60XX
Crane and tower operators,9510,53-7021
"Conveyor, dredge, and hoist and winch operators",9570,53-70XX
Industrial truck and tractor operators,9600,53-7051
Cleaners of vehicles and equipment,9610,53-7061
"Laborers and freight, stock, and material movers, hand",9620,53-7062
Machine feeders and offbearers,9630,53-7063
"Packers and packagers, hand",9640,53-7064
Stockers and order fillers,9645,53-7065
Pumping station operators,9650,53-7070
Refuse and recyclable material collectors,9720,53-7081
Other material moving workers,9760,53-71XX
Military officer special and tactical operations leaders,9800,55-1010
First-line enlisted military supervisors,9810,55-2010
Military enlisted tactical operations and air/weapons specialists and crew members,9825,55-3010
"Military, rank not Specified",9830,none
"Unemployed, with no work experience in the last 5 years or earlier or never worked",9920,none
